index,CTDTMP1,CTDTMP2,CTDPRS,CTDCOND1,CTDCOND2,CTDSAL,CTDOXY1,CTDOXYVOLTS,CTDOXY2,FREE1,CTDXMISS,FLUOR,TURBIDITY,PAR,ALT,GPSLAT,GPSLON,new_fix,nmea_datetime,pressure_temp_int,pump_on,btl_fire,scan_datetime,btl_fire_num
index,float_,float_,float_,float_,float_,float_,float_,float_,float_,float_,float_,float_,float_,float_,float_,float_,float_,bool_,float_,int_,bool_,bool_,float_,int_
1,6.928808333333333,6.923800000000002,625.5452055555555,35.10162861111111,35.09713027777778,34.56268154461631,2.210586111111111,1.1793175959842628,2.2000333333333324,0.0,4.686236602903269,0.07312440645773953,0.3366571699905034,0.007834757834757808,4.931623931623932,-4.509500000000002,-172.2618599999999,False,1508521527.3611112,2722,True,True,1508521572.3611112,1
2,6.965688888888889,6.965780555555557,625.1028555555555,35.13594277777777,35.13468499999999,34.56365212546147,2.2016888888888877,1.1765703432370098,2.188433333333333,0.0,4.6864061864061854,0.07309048975715617,0.33621625288291956,0.007970424637091276,4.931623931623932,-4.509500000000002,-172.2618599999999,False,1508521530.5277777,2722,True,True,1508521575.5833333,2
3,7.651941666666665,7.655358333333333,525.5987222222224,35.743130000000015,35.74588333333333,34.588476021962975,2.3197305555555547,1.2370438203771537,2.305238888888889,0.0,4.686270519603852,0.07163207163207137,0.3395740062406729,0.008140008140008112,4.931623931623932,-4.509539999999998,-172.26155999999995,False,1508521794.4444444,2710,True,True,1508521839.4444444,3
4,8.885230555555557,8.883486111111113,435.47213888888894,36.8978625,36.89241861111112,34.64703786489254,2.97655,1.4888074888074896,2.947688888888889,0.0,4.684913851580517,0.07034323700990343,0.34584859584859584,0.007868674535341173,4.931623931623932,-4.5094072222222215,-172.2616600000001,True,1508521982.6388888,2696,True,True,1508522027.6388888,4
5,9.504516666666667,9.504513888888887,385.80182499999995,37.50288916666667,37.501321111111096,34.69847987009069,2.328569444444444,1.2944987111653778,2.3088861111111116,0.0,4.683184099850765,0.07163207163207137,0.34801926468593136,0.008072174738841377,4.931623931623932,-4.509240000000002,-172.2618400000001,False,1508522118.3055556,2682,True,True,1508522163.3333333,5
6,10.313072222222225,10.312616666666665,322.9092083333334,38.29329361111112,38.291412777777765,34.758497286870494,2.0061499999999994,1.2072649572649568,1.990544444444444,0.0,4.681997015330347,0.07217473884140525,0.3494098494098494,0.007868674535341173,4.931623931623932,-4.509199999999996,-172.26157222222218,True,1508522287.3611112,2663,True,True,1508522332.3611112,6
7,11.38738888888889,11.368813888888887,271.64803888888883,39.36847388888889,39.34825416666666,34.83772834816377,1.8893166666666668,1.1933251933251936,1.8798000000000004,0.0,4.682505765839098,0.07264957264957239,0.34971509971509973,0.007970424637091276,4.931623931623932,-4.50922,-172.2611388888888,True,1508522424.8055556,2646,True,True,1508522469.7777777,7
8,11.258916666666668,11.258822222222221,272.77165833333333,39.24036416666667,39.23997833333335,34.83157730201639,1.8799222222222223,1.1859652692986027,1.8667805555555554,0.0,4.682573599240263,0.07241215574548882,0.35073260073260076,0.007970424637091276,4.931623931623932,-4.50922,-172.2611200000001,False,1508522427.9444444,2646,True,True,1508522472.9444444,8
9,17.284249999999997,17.256944444444443,202.0890444444444,45.72906555555555,45.694263611111104,35.39756278553349,2.2570916666666663,1.4695428028761361,2.2287250000000003,0.0,4.682200515533847,0.0704789038122369,0.3505291005291006,0.007936507936507908,4.931623931623932,-4.509199999999996,-172.2611399999999,True,1508522576.3888888,2626,True,True,1508522621.3333333,9
10,26.960680555555555,26.972297222222224,124.22717222222218,56.156640833333334,56.168179444444455,35.69762772721775,3.6293527777777776,2.4385090218423553,3.5470305555555552,0.0,4.655202821869488,0.10097001763668442,0.35449735449735453,0.48382173382173366,4.930945597612264,-4.50922,-172.26137999999995,False,1508522741.7222223,2602,True,True,1508522786.7222223,10
11,28.081113888888886,28.066391666666664,100.19902222222221,57.143253888888886,57.12751472222222,35.551565017457,3.933633333333335,2.6659883326549996,3.8653222222222214,0.0,4.635565052231717,0.11626644959978301,0.35215710215710216,0.8941459774793111,4.93040293040293,-4.509179999999997,-172.26152,False,1508522860.6111112,2586,True,True,1508522905.6388888,11
12,28.46291388888888,28.460636111111114,49.673583333333326,57.558888611111115,57.55488638888887,35.57007259716072,4.0415111111111095,2.7606498439831757,3.978299999999998,0.0,4.617012617012616,0.12942612942612952,0.3508343508343509,1.814984398317731,4.929181929181934,-4.509281111111111,-172.26155999999995,True,1508522976.8611112,2571,True,True,1508523021.8888888,12
13,28.645216666666663,28.648100000000007,3.4967694444444444,57.693442499999996,57.69493222222223,35.5407905902712,4.060105555555555,2.7973137973137963,4.006863888888891,0.0,4.606735856735856,0.11921720255053596,0.3463912630579297,2.9094424094424083,4.927927011260342,-4.509539999999998,-172.26155999999995,False,1508523198.4166667,2548,True,True,1508523243.3888888,13
14,28.645680555555558,28.648686111111108,3.3895861111111127,57.694377222222215,57.69513138888889,35.54112468509861,4.073516666666665,2.7990774657441317,4.0098499999999975,0.0,4.606328856328856,0.11860670194003535,0.34737484737484736,2.913003663003662,3.849952516619182,-4.509559999999997,-172.26155999999995,False,1508523201.1111112,2547,True,True,1508523246.1666667,14
